word,synonyms,Kannada,English,Hindi
ब्रह्मसू,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
अनिरुद्ध,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
उषापति,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
लक्ष्मी,लक्ष्मीवत् लक्ष्मण श्रील श्रीमत्,None,None,None
पद्मालया,लक्ष्मी पद्मालया पद्मा कमला श्री हरिप्रिया इन्दिरा लोकमाता मा रमा मङ्गलदेवता भार्गवी लोकजननी क्षीरसागरकन्यका,ಲಕ್ಷ್ಮಿದೇವಿ,Lakshmi,लक्ष्मी
पद्मा,प्रपुन्नाड एडगज दद्रुघ्न चक्रमर्दक पद्माट उरणाख्य,"ತಗಚಿ, ತಗಸಿಕೆ",The Cassia tora,चकवढ़
कमला,लक्ष्मी पद्मालया पद्मा कमला श्री हरिप्रिया इन्दिरा लोकमाता मा रमा मङ्गलदेवता भार्गवी लोकजननी क्षीरसागरकन्यका,ಲಕ್ಷ್ಮಿದೇವಿ,Lakshmi,लक्ष्मी
श्री,कुबेर त्र्यम्बकसख यक्षराज् गुह्यकेश्वर मनुष्यधर्मन् धनद राजराज धनाधिप किन्नरेश वैश्रवण पौलस्त्य नरवाहन यक्ष एकपिङ्ग ऐलविल श्रीद पुण्यजनेश्वर,ಕುಬೇರ,Kubera,कुबेर
हरिप्रिया,लक्ष्मी पद्मालया पद्मा कमला श्री हरिप्रिया इन्दिरा लोकमाता मा रमा मङ्गलदेवता भार्गवी लोकजननी क्षीरसागरकन्यका,ಲಕ್ಷ್ಮಿದೇವಿ,Lakshmi,लक्ष्मी
इन्दिरा,लक्ष्मी पद्मालया पद्मा कमला श्री हरिप्रिया इन्दिरा लोकमाता मा रमा मङ्गलदेवता भार्गवी लोकजननी क्षीरसागरकन्यका,ಲಕ್ಷ್ಮಿದೇವಿ,Lakshmi,लक्ष्मी
मा,माहेश्वरी,ಸಪ್ತಮಾತೃಕೆಯರಲ್ಲಿ ಒಬ್ಬಳು,one of the seven energies,माहेश्वरी सप्तमातृकाओं से एक
रमा,अग्रमांस वुक्का वृक्का,ಒಳ್ಳೇ ಮಾಂಸ,Flesh used in sacrifice,कलेजा (हृदय)
